ilość,active,id,variantId,sku,namePL,variantName,PL_1,CZ_5,HU_7,EN_9,DE_11,FR_13,LT_15,RU_17,RO_19,SK_21,IT_23,BG_25,UA_27,ES_29,HR_31,NL_33,ME_39,BE_35,AT_37,RS_41,IR_43,SI_45,EE_47,LV_49,PT_51,FI_53,GR_55
1,0,10000,52646,HOM-05515,LUSTRO ŚCIENNE LED 90cm MMJ Black,---,,,50700,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10000,,,LUSTRO ŚCIENNE LED 90cm MMJ Black,,,,50700,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10001,52647,HOM-05504,LUSTRO ŚCIENNE LED 80x60cm CLOUD C,---,,,46300,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10001,,,LUSTRO ŚCIENNE LED 80x60cm CLOUD C,,,,46300,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10003,52649,HOM-05505,LUSTRO ŚCIENNE LED 50cm MMJ  miedziane szczotkowane,---,,,27800,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10003,,,LUSTRO ŚCIENNE LED 50cm MMJ  miedziane szczotkowane,,,,27800,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10004,52650,HOM-05506,LUSTRO ŚCIENNE LED 60cm MMJ miedziane szczotkowane,---,,,31000,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10004,,,LUSTRO ŚCIENNE LED 60cm MMJ miedziane szczotkowane,,,,31000,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10005,52651,HOM-05507,LUSTRO ŚCIENNE LED 70cm MMJ miedziane szczotkowane,---,,,34300,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10005,,,LUSTRO ŚCIENNE LED 70cm MMJ miedziane szczotkowane,,,,34300,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10006,52652,HOM-05509,LUSTRO ŚCIENNE LED 80cm MMJ miedziane szczotkowane,---,,,35400,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10006,,,LUSTRO ŚCIENNE LED 80cm MMJ miedziane szczotkowane,,,,35400,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10007,52653,HOM-05510,LUSTRO ŚCIENNE LED 90cm MMJ miedziane szczotkowane,---,,,39800,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10007,,,LUSTRO ŚCIENNE LED 90cm MMJ miedziane szczotkowane,,,,39800,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10009,52655,KPL-05400,ZESTAW NA ŚCIANĘ DLA KOTÓW JUNGLA 1,---,,,13300,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10009,,,ZESTAW NA ŚCIANĘ DLA KOTÓW JUNGLA 1,,,,13300,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10010,52656,KPL-05401,ZESTAW NA ŚCIANĘ DLA KOTÓW JUNGLA 2,---,,,18600,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10010,,,ZESTAW NA ŚCIANĘ DLA KOTÓW JUNGLA 2,,,,18600,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10011,52657,KPL-05402,ZESTAW NA ŚCIANĘ DLA KOTÓW JUNGLA 3,---,,,25600,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10011,,,ZESTAW NA ŚCIANĘ DLA KOTÓW JUNGLA 3,,,,25600,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10012,52658,KPL-05425,ZESTAW DEKORACJI BOHO MAKRAMA + PODUSZKA ECRU,---,,,12000,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10012,,,ZESTAW DEKORACJI BOHO MAKRAMA + PODUSZKA ECRU,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10013,52659,KPL-15425,ZESTAW DEKORACJI BOHO MAKRAMA + PODUSZKA ECRU,---,,,12000,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10013,,,ZESTAW DEKORACJI BOHO MAKRAMA + PODUSZKA ECRU,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10014,52660,KPL-25425,ZESTAW DEKORACJI DWIE BOHO MAKRAMY + PODUSZKA ECRU,---,,,16600,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10014,,,ZESTAW DEKORACJI DWIE BOHO MAKRAMY + PODUSZKA ECRU,,,,16600,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10015,52661,KPL-35425,ZESTAW DEKORACJI BOHO MAKRAMA + MAKRAMA ECRU,---,,,12000,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10015,,,ZESTAW DEKORACJI BOHO MAKRAMA + MAKRAMA ECRU,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10016,52662,KPL-45425,ZESTAW DEKORACJI BOHO DWIE PODUSZKI ECRU 322147,---,,,12000,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10016,,,ZESTAW DEKORACJI BOHO DWIE PODUSZKI ECRU 322147,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10017,52663,REA-U7504,Umywalka Nablatowa Rea Felicia,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10017,,,Umywalka Nablatowa Rea Felicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10018,52664,REA-U7502,Umywalka Nablatowa Rea Mandala,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10018,,,Umywalka Nablatowa Rea Mandala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10019,52665,REA-U7506,Umywalka Nablatowa Rea Asanti,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10019,,,Umywalka Nablatowa Rea Asanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10020,52666,REA-U7501,Umywalka Nablatowa Rea Aztec,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10020,,,Umywalka Nablatowa Rea Aztec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10021,52667,OSW-05942,LAMPA SUFITOWA WISZĄCA BOHO NATURAL APP1486-1CP,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10021,,,LAMPA SUFITOWA WISZĄCA BOHO NATURAL APP1486-1CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10022,52668,OSW-05941,LAMPA SUFITOWA WISZĄCA BOHO NATURAL APP1485-1CP,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10022,,,LAMPA SUFITOWA WISZĄCA BOHO NATURAL APP1485-1CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10024,52670,REA-U7505,Umywalka Nablatowa Rea Sevilla,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10024,,,Umywalka Nablatowa Rea Sevilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10025,52671,REA-U7500,Umywalka Nablatowa Rea Etno,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10025,,,Umywalka Nablatowa Rea Etno,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10026,52672,OSW-03604,LAMPA ŚCIENNA KINKIET APP1474-W GOLD,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10026,,,LAMPA ŚCIENNA KINKIET APP1474-W GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10028,52674,OGR-08398,Lampa solarna LED P60262,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10028,,,Lampa solarna LED P60262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10029,52675,OSW-02464,LAMPA SUFITOWA WISZĄCA APP1417-CP czarna/złota,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10029,,,LAMPA SUFITOWA WISZĄCA APP1417-CP czarna/złota,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10030,52676,OSW-02465,LAMPA SUFITOWA WISZĄCA APP1418-CP czarna/różowe złoto,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10030,,,LAMPA SUFITOWA WISZĄCA APP1418-CP czarna/różowe złoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10031,52677,KPL-03401,Listwa maskująca do maty PVC 10x1m Chocolate,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10031,,,Listwa maskująca do maty PVC 10x1m Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10032,52678,OSW-02469,LAMPA SUFITOWA WISZĄCA APP1454-1CP Old Gold,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10032,,,LAMPA SUFITOWA WISZĄCA APP1454-1CP Old Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10033,52679,KPL-03403,Listwa maskująca do maty PVC 10x1m Dark Grey,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10033,,,Listwa maskująca do maty PVC 10x1m Dark Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10034,52680,OSW-02468,LAMPA SUFITOWA WISZĄCA APP1453-1CP Gold,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10034,,,LAMPA SUFITOWA WISZĄCA APP1453-1CP Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10036,52682,KPL-05678,Listwa maskująca do maty PVC 10x1m Light Grey,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10036,,,Listwa maskująca do maty PVC 10x1m Light Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10037,52683,KPL-03400,Listwa maskująca do maty PVC 10x1m Green,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,10037,,,Listwa maskująca do maty PVC 10x1m Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10038,52684,OSW-02466,LAMPA ŚCIENNA KINKIET APP1419-W CZARNA/ZŁOTA,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10038,,,LAMPA ŚCIENNA KINKIET APP1419-W CZARNA/ZŁOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10039,52685,OSW-02467,LAMPA ŚCIENNA KINKIET APP1420-W CZARNA/różowe złoto,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10039,,,LAMPA ŚCIENNA KINKIET APP1420-W CZARNA/różowe złoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10040,52686,REA-W9801,Wanna Akrylowa Przyścienna CAPRI 170cm,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10040,,,Wanna Akrylowa Przyścienna CAPRI 170cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10041,52687,REA-W9800,Wanna Akrylowa Przyścienna CAPRI 150cm,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10041,,,Wanna Akrylowa Przyścienna CAPRI 150cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10042,52689,OSW-02460,Lampa Wisząca Boho APP1276-1CP,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10042,,,Lampa Wisząca Boho APP1276-1CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,10043,52691,KPL-04707,Kabina Prysznicowa Przyścienna Rapid Slide Brush Gold,Drzwi: 100 Ścianka: 80,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,10043,52692,KPL-04708,Kabina Prysznicowa Przyścienna Rapid Slide Brush Gold,Drzwi: 100 Ścianka: 90,,,,,,,,,,,,,,,,,,,,,,,,,,,
